Product Name,Price,Images
Laptop Lenovo X250 Core i5 - RAM 8GB - HDD 500GB - SUPERMURAH,Rp3.699.000,"<img alt=""Laptop Lenovo X250 Core i5 - RAM 8GB - HDD 500GB - SUPERMURAH"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/9/8b197b14-c543-44be-b8fc-e7641aaa542a.jpg.webp"" title=""""/>"
LAPTOP RAM 8GB CORE i5 DENGAN SSD MERK DELL VGA INTEL NVIDIA BONUS TAS,Rp3.190.000,"<img alt=""LAPTOP RAM 8GB CORE i5 DENGAN SSD MERK DELL VGA INTEL NVIDIA BONUS TAS"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/8ab4a92b-9487-40ca-a9d8-c98d1dd69852.jpg.webp"" title=""""/>"
LAPTOP MSI GF63 9SCSR [9S7-16R412-882] i7-9750H 8GB 512GB GTX1650Ti 4G,Rp13.499.000,"<img alt=""LAPTOP MSI GF63 9SCSR [9S7-16R412-882] i7-9750H 8GB 512GB GTX1650Ti 4G"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/9/9/28197332/28197332_cdd1c8cc-1f03-4b19-b951-64ae9121d1cc_800_800.webp"" title=""""/>"
Laptop Lenovo IdeaPad Slim 3i i3-1005G1 512GB SSD 4GB WIN10+OHS MURAH,Rp7.799.000,"<img alt=""Laptop Lenovo IdeaPad Slim 3i i3-1005G1 512GB SSD 4GB WIN10+OHS MURAH"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/attachment/2020/12/8/31451292/31451292_1908426f-b228-4d24-9b06-8accf33b53c6.jpg.webp"" title=""""/>"
Lenovo Thinkpad X230 i5 2.6Ghz 3320M 8Gb Murah Mulus,Rp2.700.000,"<img alt=""Lenovo Thinkpad X230 i5 2.6Ghz 3320M 8Gb Murah Mulus"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2018/12/28/365430518/365430518_e7ae9b56-c831-4db2-a9f6-44aeb1b5d918_1560_1560.jpg.webp"" title=""""/>"
"MacBook Pro 2020 13"" inch i5 1.4GHz 8GB 512GB MXK52 Gray MXK72 Silver",Rp21.416.000,"<img alt='MacBook Pro 2020 13"" inch i5 1.4GHz 8GB 512GB MXK52 Gray MXK72 Silver' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2020/8/29/47902568/47902568_010714e8-3359-4eae-9251-1244db557e23_1000_1000.webp"" title=""""/>"
"ASUS VIVOBOOK 14 K413FQ - i5-10210U 8GB 512GB MX350 2GB 14"" FHD W10",Rp12.625.000,"<img alt='ASUS VIVOBOOK 14 K413FQ - i5-10210U 8GB 512GB MX350 2GB 14"" FHD W10' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/7/46e27c7c-ac00-428e-a939-7f1bab9223ff.jpg.webp"" title=""""/>"
Hp probook 640 core i5 ram 8gb ssd 128gb mulus mantap,Rp3.500.000,"<img alt=""Hp probook 640 core i5 ram 8gb ssd 128gb mulus mantap"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2019/12/6/5814980/5814980_e718578d-0a90-4328-82c0-468aeeea8dd3_2048_2048.jpg.webp"" title=""""/>"
LENOVO THINKPAD X230 INTEL CORE i5 GEN 3 - RAM 4Gb - HDD 320Gb,Rp2.550.000,"<img alt=""LENOVO THINKPAD X230 INTEL CORE i5 GEN 3 - RAM 4Gb - HDD 320Gb"" class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/product-1/2018/7/3/21094953/21094953_86e256a6-eece-4497-a5e4-6f9cec11bcb5_2048_1536.jpg.webp"" title=""""/>"
"LAPTOP ASUS A412UA - INTEL PENTIUM 4417U DDR4 4GB SSD 512GB 14"" WIN10",Rp7.699.000,"<img alt='LAPTOP ASUS A412UA - INTEL PENTIUM 4417U DDR4 4GB SSD 512GB 14"" WIN10' class=""success fade"" crossorigin=""anonymous"" src=""https://ecs7-p.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/18/56132f0b-3a63-4e40-94ee-db19ace228f0.png.webp"" title=""""/>"
